,x,y,z,vx,vy,vz,roll,pitch,yaw
0.189,-0.0005121661378782714,0.0002562595534094844,10.047718623605887,-0.010847191433213822,0.005429209308400381,0.5049439722844213,-0.0069088913839125965,-0.006908726917831398,2.383235999183625e-05
0.18910000000000002,-0.0005132508570215928,0.00025680247434032444,10.047769118003115,-0.010864406241812665,0.0054378315845629655,0.5052109494495669,-0.00691620261265502,-0.006916037623680538,2.3882844160271083e-05
0.1892,-0.0005143372976457741,0.00025734625749878075,10.04781963909806,-0.010881639235026956,0.0054464629845364185,0.5054779264885729,-0.006923517708465443,-0.006923352195213006,2.3933408493974835e-05
0.1893,-0.0005154254615692769,0.0002578909037972344,10.047870186890709,-0.010898890422404517,0.005455103513144676,0.5057449034012391,-0.0069308366713456415,-0.0069306706324279155,2.3984053077776125e-05
0.1894,-0.0005165153506115173,0.00025843641414854886,10.047920761381048,-0.01091615981349306,0.0054637531752116724,0.5060118801873651,-0.006938159501297836,-0.0069379929353243774,2.403477799654846e-05
0.1895,-0.0005176069665928666,0.00025898278946607004,10.047971362569067,-0.010933447417840185,0.005472411975561338,0.5062788568467502,-0.006945486198324247,-0.006945319103901504,2.408558333521025e-05
0.18960000000000002,-0.0005187003113346506,0.00025953003066362616,10.048021990454751,-0.010950753244993387,0.005481079919017604,0.5065458333791937,-0.00695281676242665,-0.0069526491381579625,2.4136469178724782e-05
0.1897,-0.00051979538665915,0.00026007813865552794,10.04807264503809,-0.010968077304500045,0.005489757010404397,0.5068128097844944,-0.006960151193606823,-0.006959983038092865,2.4187435612100245e-05
0.1898,-0.0005208921943896,0.00026062711435656836,10.048123326319068,-0.010985419605907426,0.00549844325454564,0.5070797860624511,-0.006967489491866985,-0.006967320803705324,2.4238482720389717e-05
0.1899,-0.0005219907363501907,0.00026117695868202293,10.048174034297674,-0.011002780158762692,0.005507138656265257,0.5073467622128622,-0.006974831657208913,-0.00697466243499445,2.4289610588691164e-05
0.19,-0.000523091014366067,0.00026172767254764947,10.048224768973895,-0.011020158972612888,0.005515843220387167,0.5076137382355261,-0.0069821776896343835,-0.006982007931958911,2.4340819302147448e-05
0.19010000000000002,-0.0005241930302633282,0.0002622792568696882,10.04827553034772,-0.01103755605700495,0.005524556951735287,0.5078807141302409,-0.0069895275891456166,-0.006989357294598264,2.4392108945946323e-05
0.1902,-0.0005252967858690288,0.0002628317125648617,10.048326318419132,-0.0110549714214857,0.00553327985513353,0.5081476898968045,-0.006996881355744833,-0.006996710522911176,2.444347960532043e-05
0.1903,-0.0005264022830111774,0.00026338504055037506,10.048377133188122,-0.011072405075601857,0.00554201193540581,0.5084146655350144,-0.007004238989433809,-0.0070040676168963145,2.449493136554731e-05
0.1904,-0.0005275095235187376,0.0002639392417439156,10.048427974654675,-0.011089857028900018,0.005550753197376035,0.5086816410446681,-0.00701160049021432,-0.007011428576553236,2.454646431194939e-05
